File_Name,Internal_Sample_Name,type,r2r_event,Cruise,Depth (m),Amount Filtered (L),Niskin Bottle,Dmix Concentration,Lat,Lon,Cast
QE014482.mzXML,air blank,blank,NA,NA,NA,NA,NA,1x,NA,NA,NA
QE014483.mzXML,EXPORTS2_PQC_1,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014484.mzXML,JC214_11,CTD,jc214-SE-20210505.1816.001,JC214,20,1,21,1x,49.01,-14.8665,5
QE014485.mzXML,JC214_167,CTD,jc214-SE-20210525.1459.001,JC214,5,1,23,1x,48.8173,-14.7163,53
QE014486.mzXML,JC214_165,CTD,jc214-SE-20210525.1459.001,JC214,35,1,19,1x,48.8173,-14.7163,53
QE014487.mzXML,JC214_157,CTD,jc214-SE-20210525.1459.001,JC214,330,1,2,1x,48.8173,-14.7163,53
QE014488.mzXML,JC214_160,CTD,jc214-SE-20210525.1459.001,JC214,125,1,9,1x,48.8173,-14.7163,53
QE014489.mzXML,EXPORTS2_PQC_2,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014490.mzXML,JC214_8,CTD,jc214-SE-20210505.1816.001,JC214,75,1,15,1x,49.01,-14.8665,5
QE014491.mzXML,JC214_166,CTD,jc214-SE-20210525.1459.001,JC214,20,1,21,1x,48.8173,-14.7163,53
QE014492.mzXML,JC214_162,CTD,jc214-SE-20210525.1459.001,JC214,100,1,12,1x,48.8173,-14.7163,53
QE014493.mzXML,JC214_159,CTD,jc214-SE-20210525.1459.001,JC214,150,1,7,1x,48.8173,-14.7163,53
QE014494.mzXML,JC214_158,CTD,jc214-SE-20210525.1459.001,JC214,175,1,5,1x,48.8173,-14.7163,53
QE014495.mzXML,EXPORTS2_PQC_3,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014496.mzXML,JC214_163,CTD,jc214-SE-20210525.1459.001,JC214,75,1,14,1x,48.8173,-14.7163,53
QE014497.mzXML,JC214_161,CTD,jc214-SE-20210525.1459.001,JC214,110,1,11,1x,48.8173,-14.7163,53
QE014498.mzXML,JC214_3,CTD,jc214-SE-20210505.1816.001,JC214,175,1,6,1x,49.01,-14.8665,5
QE014499.mzXML,JC214_10,CTD,jc214-SE-20210505.1816.001,JC214,35,1,19,1x,49.01,-14.8665,5
QE014500.mzXML,JC214_9,CTD,jc214-SE-20210505.1816.001,JC214,55,1,17,1x,49.01,-14.8665,5
QE014501.mzXML,EXPORTS2_PQC_4,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014502.mzXML,JC214_145,CTD,jc214-SE-20210524.1626.001,JC214,330,1,2,1x,48.9065,-14.7887,50
QE014503.mzXML,JC214_5,CTD,jc214-SE-20210505.1816.001,JC214,125,1,10,1x,49.01,-14.8665,5
QE014504.mzXML,JC214_146,CTD,jc214-SE-20210524.1626.001,JC214,175,1,5,1x,48.9065,-14.7887,50
QE014505.mzXML,JC214_4,CTD,jc214-SE-20210505.1816.001,JC214,150,1,8,1x,49.01,-14.8665,5
QE014506.mzXML,JC214_2,CTD,jc214-SE-20210505.1816.001,JC214,330,1,3,1x,49.01,-14.8665,5
QE014507.mzXML,EXPORTS2_PQC_5,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
QE014508.mzXML,JC214_198,CTD,jc214-SE-20210529.1317.001,JC214,100,1,12,1x,48.8215,-14.8387,67
QE014509.mzXML,JC214_201,CTD,jc214-SE-20210529.1317.001,JC214,35,1,19,1x,48.8215,-14.8387,67
QE014510.mzXML,JC214_7,CTD,jc214-SE-20210505.1816.001,JC214,95,1,13,1x,49.01,-14.8665,5
QE014511.mzXML,JC214_196,CTD,jc214-SE-20210529.1317.001,JC214,125,1,9,1x,48.8215,-14.8387,67
QE014512.mzXML,JC214_195,CTD,jc214-SE-20210529.1317.001,JC214,150,1,7,1x,48.8215,-14.8387,67
QE014513.mzXML,EXPORTS2_PQC_6,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA
